,id,host_age
10693,SRR6265454,1.0
10216,SRR6264519,1.0
2603,SRR961855,0.7
10671,SRR6265397,1.0
10017,SRR6264113,1.0
10401,SRR6264891,1.0
10214,SRR6264512,1.0
10537,SRR6265149,1.0
3160,SRR5078663,0.556164
10227,SRR6264541,1.0
2853,SRR2914247,0.5095890000000001
9977,SRR6264053,1.0
10008,SRR6264096,1.0
9975,SRR6264047,1.0
10138,SRR6264344,1.0
10607,SRR6265280,1.0
10075,SRR6264228,1.0
2814,SRR2914168,0.761644
10152,SRR6264373,1.0
10053,SRR6264189,1.0
10337,SRR6264781,1.0
10041,SRR6264163,1.0
10089,SRR6264260,1.0
10150,SRR6264364,1.0
2829,SRR2914199,0.5041100000000001
10028,SRR6264133,1.0
10006,SRR6264094,1.0
10237,SRR6264562,1.0
10003,SRR6264088,1.0
2870,SRR2914272,0.821918
3657,SRR5079170,0.605479
10358,SRR6264819,1.0
10262,SRR6264622,1.0
3580,SRR5079093,0.589041
10340,SRR6264787,1.0
10546,SRR6265164,1.0
2425,SRR961852,0.7
10155,SRR6264379,1.0
10526,SRR6265130,1.0
10291,SRR6264689,1.0
10100,SRR6264276,1.0
10614,SRR6265298,1.0
10666,SRR6265389,1.0
10030,SRR6264138,1.0
10257,SRR6264613,1.0
2387,SRR961728,0.7
10039,SRR6264161,1.0
10035,SRR6264155,1.0
10056,SRR6264196,1.0
10490,SRR6265069,1.0
10566,SRR6265203,1.0
10531,SRR6265137,1.0
7608,SRR5597398,0.638356
10196,SRR6264474,1.0
10322,SRR6264750,1.0
10775,SRR6265644,1.0
10268,SRR6264634,1.0
9981,SRR6264058,1.0
10663,SRR6265385,1.0
10077,SRR6264230,1.0
10128,SRR6264321,1.0
10242,SRR6264576,1.0
10362,SRR6264824,1.0
10335,SRR6264777,1.0
2324,SRR961730,0.7
10501,SRR6265089,1.0
10679,SRR6265423,1.0
10081,SRR6264243,1.0
10247,SRR6264583,1.0
10061,SRR6264204,1.0
10334,SRR6264775,1.0
10190,SRR6264465,1.0
10131,SRR6264328,1.0
10627,SRR6265324,1.0
10622,SRR6265315,1.0
10636,SRR6265342,1.0
10748,SRR6265593,1.0
2396,SRR961829,0.9
10114,SRR6264298,1.0
10458,SRR6265017,1.0
10714,SRR6265518,1.0
9931,SRR6263966,1.0
10004,SRR6264090,1.0
10584,SRR6265239,1.0
10159,SRR6264393,1.0
10140,SRR6264347,1.0
10529,SRR6265135,1.0
10294,SRR6264696,1.0
10343,SRR6264793,1.0
10446,SRR6264990,1.0
10725,SRR6265541,1.0
10301,SRR6264714,1.0
10413,SRR6264911,1.0
9970,SRR6264040,1.0
9962,SRR6264024,1.0
10410,SRR6264904,1.0
3215,SRR5078720,0.5863010000000001
3712,SRR5079226,0.717808
10420,SRR6264921,1.0
2602,SRR961832,0.9
10560,SRR6265188,1.0
3090,SRR5078591,0.575342
9961,SRR6264022,1.0
10187,SRR6264455,1.0
10125,SRR6264314,1.0
10244,SRR6264580,1.0
2806,SRR2914160,0.742466
10741,SRR6265580,1.0
10491,SRR6265075,1.0
10402,SRR6264893,1.0
10591,SRR6265254,1.0
10784,SRR6265658,1.0
10407,SRR6264898,1.0
10727,SRR6265544,1.0
10522,SRR6265126,1.0
10770,SRR6265636,1.0
3258,SRR5078765,0.632877
10568,SRR6265205,1.0
10090,SRR6264263,1.0
10551,SRR6265170,1.0
10012,SRR6264105,1.0
10704,SRR6265469,1.0
10055,SRR6264194,1.0
10585,SRR6265241,1.0
8447,ERR1160300,1.0
10438,SRR6264980,1.0
2459,SRR961854,0.7
9991,SRR6264072,1.0
10632,SRR6265335,1.0
10013,SRR6264107,1.0
10029,SRR6264135,1.0
2838,SRR2914208,0.745205
10482,SRR6265057,1.0
10511,SRR6265106,1.0
10239,SRR6264570,1.0
10408,SRR6264900,1.0
10044,SRR6264169,1.0
3457,SRR5078964,0.558904
10170,SRR6264421,1.0
3627,SRR5079140,0.610959
9945,SRR6263999,1.0
10102,SRR6264279,1.0
2421,SRR961727,0.7
10349,SRR6264805,1.0
10792,SRR6265676,1.0
10425,SRR6264929,1.0
10218,SRR6264521,1.0
2839,SRR2914209,1.0
10112,SRR6264296,1.0
10306,SRR6264726,1.0
10265,SRR6264627,1.0
2382,SRR961831,0.9
10602,SRR6265271,1.0
2805,SRR2914159,0.506849
10180,SRR6264438,1.0
10493,SRR6265079,1.0
10068,SRR6264218,1.0
10768,SRR6265633,1.0
10475,SRR6265047,1.0
10424,SRR6264928,1.0
10658,SRR6265375,1.0
10504,SRR6265096,1.0
10574,SRR6265219,1.0
10789,SRR6265670,1.0
10618,SRR6265308,1.0
10317,SRR6264745,1.0
10648,SRR6265360,1.0
8679,ERR1389717,1.0
10166,SRR6264410,1.0
10375,SRR6264841,1.0
10135,SRR6264336,1.0
2821,SRR2914175,0.50137
2366,SRR961830,0.9
10303,SRR6264719,1.0
10454,SRR6265007,1.0
10651,SRR6265368,1.0
9979,SRR6264056,1.0
10702,SRR6265465,1.0
2359,SRR961834,0.9
10282,SRR6264671,1.0
10761,SRR6265621,1.0
10764,SRR6265626,1.0
2862,SRR2914256,0.753425
9943,SRR6263996,1.0
9247,ERR2091861,1.0
